Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Instructions Retired	Microarchitecture Usage(%)	Microarchitecture Usage:Microarchitecture Usage(%)	Microarchitecture Usage:CPI Rate	Module	Function (Full)	Source File	Start Address
__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long>>>::__normal_iterator	0.005015	0.005015	0.0	0.0	31200000	25.7	25.7	0.560805	orderbook_bench	__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long>>>::__normal_iterator(unsigned long const* const&)	stl_iterator.h	0x37ac
benchmark_orderbook<OrderBookArray>	0.005015	0.005015	0.0	0.0	44200000	94.5	94.5	0.394991	orderbook_bench	benchmark_orderbook<OrderBookArray>(long)	orderbook_bench.cpp	0x2f60
std::__detail::_Mod_range_hashing::operator()	0.005015	0.005015	0.0	0.0	5200000	0.0	0.0	3.349903	orderbook_bench	std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const	hashtable_policy.h	0x1978
std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>>	0.005015	0.005015	0.0	0.0	49400000	86.0	86.0	0.352885	orderbook_bench	std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>>(std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>&, std::uniform_int_distribution<int>::param_type const&)	uniform_int_dist.h	0x1ff0
__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>::operator--	0.004012	0.004012	0.0	0.0	20800000	53.7	53.7	0.671476	orderbook_bench	__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>::operator--(void)	stl_iterator.h	0x1ab0
__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long>>>::__normal_iterator	0.004012	0.004012	0.0	0.0	10400000	53.6	53.6	1.344541	orderbook_bench	__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long>>>::__normal_iterator(unsigned long const* const&)	stl_iterator.h	0x3107
operator new	0.004012	0.004012	0.0	0.0	7800000	32.2	32.2	1.792839	libstdc++.so.6.0.33	operator new(unsigned long)	[Unknown]	0xbb8e0
std::uniform_int_distribution<unsigned int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>, unsigned int>	0.004012	0.004012	0.0	0.0	10400000	32.2	32.2	1.341755	orderbook_bench	std::uniform_int_distribution<unsigned int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>, unsigned int>(std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>&, unsigned int)	uniform_int_dist.h	0x1fa0
__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long>>>::__normal_iterator	0.003009	0.003009	0.0	0.0	23400000	71.7	71.7	0.446981	orderbook_bench	__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long>>>::__normal_iterator(unsigned long const* const&)	stl_iterator.h	0x37b3
__gnu_cxx::operator-<double*, std::vector<double, std::allocator<double>>>	0.003009	0.003009	0.0	0.0	7800000	42.9	42.9	1.343933	orderbook_bench	__gnu_cxx::operator-<double*, std::vector<double, std::allocator<double>>>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>> const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>> const&)	stl_iterator.h	0x19f0
func@0xa1c30	0.003009	0.003009	0.0	0.0	13000000	28.6	28.6	0.806918	libstdc++.so.6.0.33	func@0xa1c30	[Unknown]	0xa1c30
std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::erase	0.003009	0.003009	0.0	0.0	18200000	0.0	0.0	0.576759	orderbook_bench	std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::erase(std::__detail::_Node_const_iterator<std::pair<unsigned long const, Order>, (bool)0, (bool)0>)	hashtable.h	0x1930
std::vector<double, std::allocator<double>>::push_back	0.003009	0.003009	0.0	0.0	15600000	14.3	14.3	0.671209	orderbook_bench	std::vector<double, std::allocator<double>>::push_back(double&&)	stl_vector.h	0x31eb
OrderBookMap::add_order	0.002006	0.002006	0.0	0.0	10400000	100.0	100.0	0.672924	orderbook_bench	OrderBookMap::add_order(Order const&)	orderbook.h	0x376d
func@0x11b4	0.002006	0.002006	0.0	0.0	0	21.4	21.4		orderbook_bench	func@0x11b4	[Unknown]	0x11b4
std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_erase	0.002006	0.002006	0.0	0.0	0	21.4	21.4		orderbook_bench	std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_erase(unsigned long, std::__detail::_Hash_node_base*, std::__detail::_Hash_node<std::pair<unsigned long const, Order>, (bool)0>*)	hashtable.h	0x196b
